rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_the week,,,
docked_bike,22-04-2020 11:44,22-04-2020 11:56,Laramie Ave & Kinzie St,530,Austin Blvd & Lake St,532,41.8878,-87.7555,41.8879,-87.7744,member,00:11:45,4,,,
docked_bike,03-04-2020 18:35,03-04-2020 19:01,Laramie Ave & Madison St,540,Austin Blvd & Lake St,532,41.8802,-87.7553,41.8879,-87.7744,casual,00:26:48,6,,,
docked_bike,03-04-2020 18:35,03-04-2020 19:02,Laramie Ave & Madison St,540,Austin Blvd & Lake St,532,41.8802,-87.7553,41.8879,-87.7744,casual,00:26:44,6,,,
docked_bike,07-04-2020 18:48,07-04-2020 19:23,Conservatory Dr & Lake St,518,Austin Blvd & Lake St,532,41.8855,-87.7169,41.8879,-87.7744,member,00:34:42,3,,,
docked_bike,26-04-2020 12:39,26-04-2020 13:24,Conservatory Dr & Lake St,518,Austin Blvd & Lake St,532,41.8855,-87.7169,41.8879,-87.7744,member,00:44:16,1,,,
docked_bike,26-04-2020 12:42,26-04-2020 13:24,Conservatory Dr & Lake St,518,Austin Blvd & Lake St,532,41.8855,-87.7169,41.8879,-87.7744,member,00:41:54,1,,,
docked_bike,28-04-2020 15:06,28-04-2020 15:42,Central Park Ave & Elbridge Ave,500,Austin Blvd & Lake St,532,41.9353,-87.7169,41.8879,-87.7744,member,00:35:57,3,,,
docked_bike,21-04-2020 15:06,21-04-2020 15:42,Central Park Ave & Elbridge Ave,500,Austin Blvd & Lake St,532,41.9353,-87.7169,41.8879,-87.7744,member,00:35:39,3,,,
docked_bike,26-04-2020 14:09,26-04-2020 14:39,Drake Ave & Fullerton Ave,503,Austin Blvd & Lake St,532,41.9244,-87.7154,41.8879,-87.7744,member,00:29:50,1,,,
docked_bike,27-04-2020 10:07,27-04-2020 10:42,Troy St & North Ave,509,Austin Blvd & Lake St,532,41.9098,-87.7053,41.8879,-87.7744,member,00:34:38,2,,,
docked_bike,29-04-2020 11:40,29-04-2020 12:13,Campbell Ave & North Ave,160,Austin Blvd & Lake St,532,41.9105,-87.6896,41.8879,-87.7744,member,00:33:23,4,,,
docked_bike,20-04-2020 09:47,20-04-2020 10:26,Campbell Ave & North Ave,160,Austin Blvd & Lake St,532,41.9105,-87.6896,41.8879,-87.7744,member,00:38:39,2,,,
docked_bike,11-04-2020 13:25,11-04-2020 13:58,Ashland Ave & Lake St,119,Austin Blvd & Lake St,532,41.8859,-87.6672,41.8879,-87.7744,member,00:32:27,7,,,
